Team,rating,W,D,L,GF,GA
Belgium,1384,7,2,1,24,5
Germany,1310,7,1,2,24,9
Spain,1267,9,0,1,23,3
Portugal,1181,8,1,1,13,7
Austria,1077,9,1,0,22,5
England,1069,10,0,0,31,3
Italy,982,7,3,0,16,7
Switzerland,948,7,0,3,24,8
France,925,9,0,1,24,10
Turkey,919,5,3,2,14,9
Ukraine,894,6,1,3,14,4
Hungary,886,4,4,2,11,9
Romania,878,5,5,0,11,2
Slovakia,852,7,1,2,17,8
North. Ireland,851,6,3,1,16,8
Wales,846,6,3,1,11,4
Croatia,842,6,3,1,20,5
Poland,842,6,3,1,33,10
Russia,828,6,2,2,21,5
Czech Republic,815,7,1,2,19,14
Ireland,768,5,3,2,19,7
Iceland,751,6,2,2,17,6
Sweden,735,5,3,2,15,9
Albania,667,4,2,2,10,5
